,id,gps2id,start,duraion
1087,288,854,16,3
1088,288,805,22,2
1089,289,1108,0,12
1090,289,804,15,4
1091,289,555,20,2
1092,289,705,22,2
1093,290,1497,0,6
1094,290,1446,9,5
1095,290,1495,16,4
1096,290,1445,22,2
1097,291,1545,0,6
1098,291,1546,9,5
1099,291,1546,16,3
1100,291,1545,20,3
1101,292,1497,0,5
1102,292,1496,8,6
1103,292,1497,17,4
1104,292,1545,22,1
1105,293,915,0,14
1106,293,1344,15,4
1107,293,1394,20,2
1108,293,1497,23,3
1109,294,278,0,16
1110,294,1176,18,3
1111,294,1343,22,2
1112,295,1038,3,2
1113,295,1294,8,2
1114,295,1344,11,7
1115,295,1394,19,2
1116,295,1344,22,2
1117,296,1496,0,12
1118,296,1497,15,3
1119,296,1496,20,4
1120,297,1497,0,8
1121,297,1496,11,5
1122,297,1220,19,3
1123,297,1675,23,4
1124,298,1445,0,4
1125,298,1595,7,3
1126,298,1445,13,4
1127,298,1495,20,2
1128,298,1445,23,7
1129,299,1447,5,11
1130,299,1698,18,1
1131,299,1495,20,2
1132,299,1496,23,2
1133,300,804,0,9
1134,300,531,12,2
1135,300,1345,17,7
1136,301,1496,0,1
1137,301,1546,4,8
1138,301,1445,15,4
1139,301,1546,20,2
1140,301,1447,23,3
1141,302,328,5,1
1142,302,378,9,8
1143,302,1731,20,3
1144,303,1497,0,7
1145,303,1496,10,6
1146,303,1497,19,4
1147,304,1546,0,8
1148,304,1547,11,3
1149,304,1546,17,3
1150,304,1496,21,2
1151,305,1496,0,7
1152,305,1497,10,5
1153,305,1496,18,4
1154,305,1497,23,3
1155,306,1497,0,8
1156,306,1496,11,4
1157,306,1497,18,4
1158,306,1496,23,5
1159,307,1344,0,10
1160,307,1336,13,3
1161,307,1346,19,6
1162,308,1008,0,6
1163,308,1489,9,4
1164,308,1447,15,4
1165,308,983,20,2
1166,308,894,23,3
1167,309,1496,1,8
1168,309,1495,11,3
1169,309,1496,16,5
1170,309,1495,22,1
1171,310,1694,0,9
1172,310,433,11,5
1173,310,384,17,3
1174,310,433,21,2
1175,311,1445,0,13
1176,311,1495,16,2
1177,311,1445,21,2
1178,312,1496,0,7
1179,312,1497,10,5
1180,312,1496,18,5
1181,313,1446,1,6
1182,313,1595,9,4
1183,313,1446,14,6
1184,313,1295,21,2
1185,314,1517,0,8
1186,314,1496,11,6
1187,314,1546,20,3
1188,315,1497,0,14
1189,315,1497,15,2
1190,315,1397,20,2
1191,315,1546,23,4
1192,316,1743,0,10
1193,316,1695,12,4
1194,316,1496,19,3
1195,316,1446,23,2
1196,317,805,0,6
1197,317,804,9,5
1198,317,805,16,4
1199,317,804,21,2
1200,318,1443,0,7
1201,318,1494,10,5
1202,318,1443,18,6
1203,319,1517,0,8
1204,319,1518,11,5
1205,319,1695,18,2
1206,319,1694,21,2
1207,320,1446,0,8
1208,320,1495,10,4
1209,320,1496,15,7
1210,320,1497,23,2
1211,321,1745,0,5
1212,321,1696,8,4
1213,321,1393,14,2
1214,321,1344,18,5
1215,322,1497,4,10
1216,322,1496,17,3
1217,322,1497,22,1
1218,323,1445,0,8
1219,323,1393,10,3
1220,323,1444,15,5
1221,323,1446,21,1
1222,323,1396,23,3
1223,324,1495,0,7
1224,324,1445,10,5
1225,324,1495,18,3
1226,324,1444,22,1
1227,325,1680,0,8
1228,325,309,11,4
1229,325,531,18,3
1230,325,481,22,2
1231,326,1496,0,16
1232,326,1446,17,2
1233,326,1496,20,3
1234,327,804,0,8
1235,327,705,11,3
1236,327,804,17,5
1237,327,803,22,2
1238,328,1548,0,9
1239,328,1547,12,2
1240,328,1548,16,4
1241,328,1547,21,3
1242,329,1547,0,7
1243,329,1546,10,4
1244,329,1496,17,4
1245,329,1495,22,2
1246,330,1344,0,7
1247,330,1345,10,4
1248,330,1346,17,4
1249,330,1345,22,2
1250,331,1497,0,10
1251,331,1496,13,4
1252,331,1497,20,2
1253,331,1496,23,4
1254,332,1496,0,8
1255,332,1446,10,4
1256,332,1496,16,5
1257,332,1545,22,1
1258,333,755,0,10
1259,333,804,12,3
1260,333,755,18,4
1261,333,855,23,8
1262,334,1496,0,9
1263,334,1546,12,3
1264,334,1397,18,4
1265,334,1446,23,2
1266,335,1497,0,9
1267,335,705,11,4
1268,335,1496,18,4
